"Number","Position","Team","Age","Foot","Experience","Experience_VFF","Video","Decision","RT","Trial_Number","participant","highest_prio","highest_prio_named","answer","accuracy"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_32\Klip_32_3","switch play2",2.40562340000179,47,5,3,"Switch play to open lines",3,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_69\Klip_69_2","switch play",12.4045965999831,48,5,2,"Link out",3,"Good"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_73\Klip_73_2","switch play",4.18295830010902,49,5,2,"Link out",3,"Good"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_64\Klip_64_2","link out",6.66779980005231,50,5,2,"Link out",2,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_78\Klip_78_1","switch play",15.3608086999739,51,5,1,"Highest free man",3,"Good"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_58\Klip_58_3","switch play2",4.26401799998712,52,5,3,"Switch play to open lines",3,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_18\Klip_18_3","switch play",1.10016579995863,53,5,3,"Switch play to open lines",3,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_7\Klip_7_1","link out",1.30224119999912,54,5,1,"Highest free man",2,"Good"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_26\Klip_26_1","switch play",2.05140400002711,55,5,1,"Highest free man",3,"Good"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_10\Klip_10_1","link out",1.94869710004423,56,5,1,"Highest free man",2,"Good"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_35\Klip_35_1","highest free man",2.48624860006385,57,5,1,"Highest free man",1,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_88\Klip_88_4","pass it over",11.1726466000546,58,5,4,"Pass it over the opponent",4,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_60\Klip_60_3","switch play2",2.83237970003393,59,5,3,"Switch play to open lines",3,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_33\Klip_33_1","highest free man",7.12944569997489,60,5,1,"Highest free man",1,"Best"
